번호	시도	군구	일련번호	인구(2005)	인구변화율(70-05)	인구밀도(2005)	노령화율(2005)	소득세할주민세(01-05평균)	개별공시지가 평균지가(2005)	총사업체종사자수(2001)	총사업체종사자수(2005)	총사업체종사자수변화율(01-05)	총사업체종사자수증감폭(01-05)	재정력지수(01-05평균)	지방세징수액(2002)	지방세징수액(2005)	1인당지방세징수액(2005)	지방세징수액증가율(02-05)	지방세징수액증감폭(02-05)	의료병상수(2005)	사설학원강사수(2005)	도로율(2005)	상하수도보급률(2005)
105	경기도	양평군	146	75314	-0.808523718	85.80542992	18.72976538	3117178	7465.790216	16414	19313	17.66175216	2899	26.868	42238103	64733794	859.5187349	53.2592361	22495691	679	200	1.45502961	56.34145046
106	강원도	춘천시	139	260887	0.776608562	233.5917984	10.73495393	7965342.8	9283.611413	68918	74625	8.280855509	5707	33.758	127081963	150500603	576.8804233	18.427981	23418640	2842	1584	1.488916685	87.4508887
107	강원도	원주시	138	284360	1.133941877	327.8680964	9.929368122	8885504.2	11326.21676	79977	87503	9.410205434	7526	41.04	134859697	205245942	721.7820439	52.19220165	70386245	2806	1191	2.399706411	90.04448586
108	강원도	강릉시	140	221329	0.836836145	212.8020229	11.66846393	6212280.2	6747.817579	62207	66779	7.349655184	4572	33.32	102977554	117069392	528.9383316	13.68437825	14091838	2394	1026	2.098920775	88.68901048
109	강원도	동해시	61	93183	-0.027692378	517.5395723	11.10537745	2366540.6	13163.02302	27577	28190	2.222866882	613	29.344	42536814	45749890	490.9682024	7.553635775	3213076	1634	357	2.912815718	52.15221661
110	강원도	태백시	88	55344	-1.473633113	182.310505	11.07872776	1203815	3138.64309	17027	16929	-0.575556469	-98	17.882	19387626	22271660	402.4223041	14.87564285	2884034	1011	134	1.035830484	83.50046979
111	강원도	속초시	59	84908	-0.892097945	806.6501995	10.22359691	2145045.4	28670.12856	26392	25099	-4.899211882	-1293	30.164	48115782	48064615	566.0787558	-0.106341408	-51167	522	387	2.627868231	99.81097188
112	강원도	삼척시	87	68116	-0.350074113	57.44404527	16.55311447	1742831.6	1708.216235	20534	20138	-1.928508815	-396	15.354	34415642	38391781	563.6235393	11.55329022	3976139	468	106	1.232875989	85.626725
113	강원도	홍천군	12	66837	-1.336544237	36.76523978	17.71416563	1351424.4	1887.367225	16364	16909	3.330481545	545	16.154	27635557	44016113	658.5590766	59.27347873	16380556	762	174	0.874598001	62.67860616
114	강원도	횡성군	7	38821	-1.657117491	38.90269566	21.32071569	954028.6	2349.145673	12262	12746	3.947153809	484	14.302	22258244	28527454	734.8459339	28.16578882	6269210	227	108	1.378942599	51.52881173
